state,zip_code,city,county,territory_code
ar,all_others,all_others,clark,112
ar,all_others,all_others,clay,111
ar,all_others,all_others,cleburne,112
ar,all_others,all_others,cleveland,112
ar,all_others,all_others,columbia,112
ar,all_others,all_others,conway,112
ar,all_others,all_others,craighead,111
ar,all_others,all_others,crawford,112
ar,all_others,all_others,crittenden,111
ar,all_others,west_memphis,crittenden,131
ar,all_others,all_others,cross,112
ar,all_others,all_others,dallas,112
ar,all_others,all_others,desha,112
ar,all_others,all_others,drew,112
ar,all_others,all_others,faulkner,112
ar,all_others,all_others,franklin,112
ar,all_others,all_others,fulton,112
ar,all_others,all_others,garland,112
ar,all_others,hot,garland,132
ar,all_others,all_others,grant,112
ar,all_others,all_others,greene,111
ar,all_others,all_others,hempstead,112
ar,all_others,all_others,hot_spring,112
ar,all_others,all_others,howard,112
ar,all_others,all_others,independence,112
ar,all_others,all_others,izard,112
ar,all_others,all_others,jackson,111
ar,all_others,all_others,jefferson,112
ar,all_others,pine_bluff,jefferson,132
ar,all_others,all_others,johnson,112
ar,all_others,all_others,lafayette,112
ar,all_others,all_others,lawrence,111
ar,all_others,all_others,lee,112
ar,all_others,all_others,lincoln,112
ar,all_others,all_others,little_river,112
ar,all_others,all_others,logan,112
ar,all_others,all_others,lonoke,112
ar,all_others,all_others,madison,112
ar,all_others,all_others,marion,112
ar,all_others,all_others,miller,112
ar,all_others,all_others,mississippi,111
ar,all_others,all_others,monroe,112
ar,all_others,all_others,montgomery,112
ar,all_others,all_others,nevada,112
ar,all_others,all_others,newton,112
ar,all_others,all_others,ouachita,112
ar,all_others,all_others,perry,112
ar,all_others,all_others,phillips,112
ar,all_others,all_others,pike,112
ar,all_others,all_others,poinsett,111
ar,all_others,all_others,polk,112
ar,all_others,all_others,pope,112
ar,all_others,all_others,prairie,112
ar,all_others,all_others,pulaski,112
ar,all_others,little_rock,pulaski,122
ar,all_others,north_little_rock,pulaski,132
ar,all_others,all_others,randolph,112
ar,all_others,all_others,saline,112
ar,all_others,all_others,scott,112
ar,all_others,all_others,searcy,112
ar,all_others,all_others,sebastian,112
ar,all_others,fort_smith,sebastian,132
ar,all_others,all_others,sevier,112
ar,all_others,all_others,sharp,112
ar,all_others,all_others,st_francis,112
ar,all_others,all_others,stone,112
ar,all_others,all_others,union,112
ar,all_others,all_others,van_buren,112
ar,all_others,all_others,washington,112
ar,all_others,fayetteville,washington,132
ar,all_others,all_others,white,112
ar,all_others,all_others,woodruff,111
ar,all_others,all_others,yell,112
co,all_others,all_others,adams,114
co,all_others,aurora,adams,134
co,all_others,all_others,alamosa,111
co,all_others,all_others,arapahoe,114
co,all_others,aurora,arapahoe,134
co,all_others,all_others,archuleta,111
co,all_others,all_others,baca,114
co,all_others,all_others,bent,114
co,all_others,all_others,boulder,114
co,all_others,boulder,boulder,134
co,all_others,all_others,broomfield,114
co,all_others,all_others,chaffee,111
co,all_others,all_others,cheyenne,114
co,all_others,all_others,clear_creek,112
co,all_others,all_others,conejos,111
co,all_others,all_others,costilla,111
co,all_others,all_others,crowley,114
