state,protection,rate
nevada,partially_protected,1.15
nevada,unprotected,1.45
kansas,protected_1,0.74
kansas,protected_2,0.792
kansas,protected_3,0.857
kansas,protected_4,0.922
kansas,protected_5,1
kansas,partially_protected,1.15
kansas,unprotected,1.45
alabama,protected_1,0.8
alabama,protected_2,0.809
alabama,protected_3,0.817
alabama,protected_4,0.825
alabama,protected_5,0.834
alabama,partially_protected,1.062
alabama,unprotected,1.25
new_jersey,protected_1,0.823
new_jersey,protected_2,0.832
new_jersey,protected_3,0.84
new_jersey,protected_4,0.848
new_jersey,protected_5,0.857
new_jersey,partially_protected,1.15
new_jersey,unprotected,1.45
oregon,protected_1,0.823
oregon,protected_2,0.832
oregon,protected_3,0.84
oregon,protected_4,0.848
oregon,protected_5,0.857
oregon,partially_protected,1.15
oregon,unprotected,1.45
west_virginia,protected_1,0.872
west_virginia,protected_2,0.881
west_virginia,protected_3,0.89
west_virginia,protected_4,0.899
west_virginia,protected_5,0.908
west_virginia,partially_protected,1.15
west_virginia,unprotected,1.45
new_hampshire,protected_1,0.823
new_hampshire,protected_2,0.832
new_hampshire,protected_3,0.84
new_hampshire,protected_4,0.848
new_hampshire,protected_5,0.857
new_hampshire,partially_protected,1.15
new_hampshire,unprotected,1.45
california,protected_1,0.824
california,protected_2,0.833
california,protected_3,0.841
california,protected_4,0.849
california,protected_5,0.858
california,partially_protected,1.062
california,unprotected,1.25
connecticut,protected_1,0.823
connecticut,protected_2,0.832
connecticut,protected_3,0.84
connecticut,protected_4,0.848
connecticut,protected_5,0.857
connecticut,partially_protected,1.15
connecticut,unprotected,1.45
