state,protection,rate
nevada,partially_protected,1.158
nevada,unprotected,1.526
kansas,protected_1,0.611
kansas,protected_2,0.689
kansas,protected_3,0.786
kansas,protected_4,0.883
kansas,protected_5,1
kansas,partially_protected,1.158
kansas,unprotected,1.526
alabama,protected_1,0.614
alabama,protected_2,0.621
alabama,protected_3,0.627
alabama,protected_4,0.633
alabama,protected_5,0.64
alabama,partially_protected,1.133
alabama,unprotected,1.33
new_jersey,protected_1,0.722
new_jersey,protected_2,0.73
new_jersey,protected_3,0.737
new_jersey,protected_4,0.744
new_jersey,protected_5,0.752
new_jersey,partially_protected,1.158
new_jersey,unprotected,1.526
oregon,protected_1,0.722
oregon,protected_2,0.73
oregon,protected_3,0.737
oregon,protected_4,0.744
oregon,protected_5,0.752
oregon,partially_protected,1.158
oregon,unprotected,1.526
west_virginia,protected_1,0.784
west_virginia,protected_2,0.792
west_virginia,protected_3,0.8
west_virginia,protected_4,0.808
west_virginia,protected_5,0.816
west_virginia,partially_protected,1.158
west_virginia,unprotected,1.526
new_hampshire,protected_1,0.722
new_hampshire,protected_2,0.73
new_hampshire,protected_3,0.737
new_hampshire,protected_4,0.744
new_hampshire,protected_5,0.752
new_hampshire,partially_protected,1.158
new_hampshire,unprotected,1.526
california,protected_1,0.693
california,protected_2,0.7
california,protected_3,0.707
california,protected_4,0.714
california,protected_5,0.721
california,partially_protected,1.133
california,unprotected,1.333
connecticut,protected_1,0.722
connecticut,protected_2,0.73
connecticut,protected_3,0.737
connecticut,protected_4,0.744
connecticut,protected_5,0.752
connecticut,partially_protected,1.158
connecticut,unprotected,1.526
